,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
1790,1790,2022-05-18 11:49, (611 N Howard St),"Yoga Studio, On Site Laundry, Recreation Room with Billiards",1.0,720.0,https://losangeles.craigslist.org/lac/apa/d/glendale-yoga-studio-on-site-laundry/7485326102.html,"2,773","['34.154840', '-118.248008']",34.154840,-118.248008
1791,1791,2022-05-18 11:47, (central LA 213/323),Check out our spacious studio apartment with balcony in beautiful DTLA,,468.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-check-out-our-spacious/7485325170.html,"1,925","['34.055900', '-118.266600']",34.055900,-118.266600
1792,1792,2022-05-18 11:44, (Socal),Completely remodeled 3bd property,3.0,1104.0,https://losangeles.craigslist.org/lac/apa/d/compton-completely-remodeled-3bd/7476343326.html,"1,799","['33.874800', '-118.240200']",33.874800,-118.240200
1793,1793,2022-05-18 11:43, (Hollywood),"Additional Storage Space*, Outdoor Fireplaces",1.0,1035.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-additional-storage-space/7485323330.html,"4,655","['34.095309', '-118.329210']",34.095309,-118.329210
1794,1794,2022-05-18 11:43, (Los Angeles),Steps Away From Grand Central Market!,1.0,579.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-steps-away-from-grand/7485322873.html,"2,711","['34.049761', '-118.250921']",34.049761,-118.250921
1795,1795,2022-05-18 11:41, (central LA 213/323),"Private patios and balconies*, EV charging stations",,605.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-private-patios-and/7485322116.html,"2,255","['34.060409', '-118.280828']",34.060409,-118.280828
1796,1796,2022-05-18 11:38, (Los Angeles),Top Floor Two Bedroom! Move In Now! Ask About our Specials!,2.0,884.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-top-floor-two-bedroom-move/7485320775.html,"3,435","['34.062110', '-118.345352']",34.062110,-118.345352
1798,1798,2022-05-18 11:38, (WESTERN & ADAMS),=== SECTION 8 ONLY! ==== BEAUTIFUL 4 BED / 3 BATH CONDO!============,4.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-section-only-beautiful-bed/7484374079.html,"3,600","['34.029000', '-118.315200']",34.029000,-118.315200
1799,1799,2022-05-18 11:38, (central LA 213/323),"Covered Parking Garage, Stainless Steel Appliances, Refrigerator",1.0,759.0,https://losangeles.craigslist.org/lac/apa/d/glendale-covered-parking-garage/7484375274.html,"2,578","['34.164900', '-118.245100']",34.164900,-118.245100
1800,1800,2022-05-18 12:56, (Los Angeles),2 BR/1BR cottage house for rent,2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-br-1br-cottage-house-for/7485360657.html,"2,600","['34.048200', '-118.334300']",34.048200,-118.334300
1801,1801,2022-05-18 12:56," (400 S Main St Los Angeles, CA)",Be Ready To Be Wowed. Huge Urban Loft. Great City View,,1420.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-be-ready-to-be-wowed-huge/7485360507.html,"3,230","['34.048212', '-118.247207']",34.048212,-118.247207
1802,1802,2022-05-18 12:56, (Hollywood),Spacious 2 Bedroom/2 Bath ~ Coming June!,2.0,1131.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-bedroom-bath/7485360363.html,"3,327","['34.107400', '-118.365200']",34.107400,-118.365200
1803,1803,2022-05-18 12:54," (909 W. Temple St., Los Angeles, CA)",City view and plenty of amenities!!!,2.0,948.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-city-view-and-plenty-of/7483697288.html,"2,995","['34.061400', '-118.238500']",34.061400,-118.238500
