,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon
96,2022-05-21 18:39, (Close to Ventura Blvd),Efficiency in Sherman Oaks With Wood Style Floors + CALL US TODAY!!,,350.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-efficiency-in-sherman-oaks/7484368825.html,"1,595","[None, None]"
97,2022-05-21 18:39, (Downtown Glendale),Newly Updated 2+2 in Glendale ^ Wood-Inspired Floors ^ SS Appliances,2,1100.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-newly-updated-22-in-glendale/7482102312.html,"2,625","[None, None]"
98,2022-05-21 18:36, (Near Ventura Blvd),"2 BED in Encino | Kitchen Whirlpool Appliances, Washer/Dryer in Unit",2,1266.0,https://losangeles.craigslist.org/sfv/apa/d/encino-bed-in-encino-kitchen-whirlpool/7486735680.html,"2,850","[None, None]"
99,2022-05-21 18:33, (Northridge),Apartamento de renta,1,,https://losangeles.craigslist.org/sfv/apa/d/northridge-apartamento-de-renta/7481707589.html,"1,735","[None, None]"
100,2022-05-21 18:30, (Northridge),Apartamento de renta,1,670.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-apartamento-de-renta/7486743043.html,"1,735","[None, None]"
101,2022-05-21 18:27, (Woodland Hills),Welcome to your new home! Apply NOW!,1,756.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-welcome-to-your-new-home/7486742348.html,"2,766","[None, None]"
102,2022-05-21 18:27," (18414 W. Jakes Way, Canyon Country, CA)","Lounging and Sunbathing Areas, 5 Refreshing Pools and Spas, Dishwasher",2,1033.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-lounging-and-sunbathing/7484168786.html,"2,745","[None, None]"
103,2022-05-21 18:25, (Woodland Hills),Your Search Is Finally Over!!  Lovely 2 Bedroom 2 Bath Available Today,2,920.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-your-search-is-finally/7483178240.html,"3,010","[None, None]"
104,2022-05-21 18:22," (4045 Vineland Avenue, Los Angeles, CA)","Washer/dryer, DirecTV available, Lush vegetation",1,814.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-washer-dryer-directv/7486741275.html,"3,109","[None, None]"
105,2022-05-21 18:19, (Studio city),STUDIO CITY-1 bd/1 bth,1,1000.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-studio-city-bd-bth/7481672255.html,"1,865","[None, None]"
106,2022-05-21 18:18, (san fernando valley),"Cherry wood or white cabinets, Laundry Facilities, Dishwasher",1,667.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-cherry-wood-or-white/7486740332.html,"2,325","[None, None]"
